Data tragerii,N.1,N.2,N.3,N.4,N.5,J
14-09-00,4,30,32,39,27,7
21-09-00,9,31,24,41,39,7
28-09-00,19,1,28,43,38,11
05-10-00,33,35,18,19,30,18
12-10-00,26,28,32,35,12,11
19-10-00,27,7,32,6,38,12
26-10-00,35,19,29,7,23,14
02-11-00,12,10,7,24,44,17
09-11-00,10,1,26,7,18,7
16-11-00,33,39,45,26,24,5
23-11-00,35,13,22,37,24,8
30-11-00,15,44,39,17,33,17
07-12-00,3,44,13,36,32,7
14-12-00,2,13,39,15,43,12
21-12-00,36,35,15,11,33,2
02-01-01,9,28,36,3,20,6
11-01-01,9,5,30,40,21,5
18-01-01,45,31,10,39,25,18
25-01-01,1,19,10,11,28,11
01-02-01,25,21,34,20,9,5
08-02-01,15,37,25,10,33,17
15-02-01,2,21,16,18,28,11
22-02-01,19,2,20,28,40,4
01-03-01,36,11,40,18,24,17
08-03-01,14,6,32,33,31,7
15-03-01,11,42,35,5,28,15
22-03-01,4,21,23,17,41,8
29-03-01,39,38,35,24,30,18
05-04-01,45,15,42,14,44,18
12-04-01,39,5,22,32,29,18
19-04-01,8,28,17,4,19,16
26-04-01,17,19,1,14,18,10
03-05-01,28,40,44,45,6,13
10-05-01,39,21,41,20,33,1
17-05-01,2,34,7,42,8,17
24-05-01,10,15,22,41,32,18
31-05-01,37,20,14,13,2,18
07-06-01,37,24,45,30,43,11
14-06-01,16,1,24,5,45,3
21-06-01,1,39,17,25,26,15
28-06-01,44,26,30,11,1,14
05-07-01,41,24,1,21,2,5
12-07-01,42,22,5,34,17,17
19-07-01,9,24,8,22,37,6
26-07-01,13,26,17,7,41,7
02-08-01,41,13,42,17,36,7
09-08-01,26,6,27,5,42,6
16-08-01,21,4,31,2,37,11
23-08-01,26,11,31,19,17,14
30-08-01,33,3,5,25,24,5
06-09-01,22,7,45,18,32,14
13-09-01,27,37,9,28,10,11
20-09-01,14,44,36,20,10,5
27-09-01,23,1,18,22,32,15
04-10-01,18,8,35,14,9,3
11-10-01,34,23,12,20,28,19
18-10-01,22,23,7,34,27,20
25-10-01,34,42,35,20,29,13
01-11-01,14,35,40,28,15,10
08-11-01,39,37,2,8,38,9
15-11-01,14,35,24,32,45,16
22-11-01,35,14,7,23,19,17
29-11-01,4,19,44,17,36,1
06-12-01,5,30,42,18,22,7
13-12-01,35,12,25,33,40,18
20-12-01,22,44,30,1,32,17
10-01-02,2,18,10,43,29,5
17-01-02,19,4,38,29,32,5
24-01-02,37,8,1,11,10,12
31-01-02,41,28,30,40,37,4
07-02-02,4,38,2,8,39,11
14-02-02,26,6,27,45,30,11
21-02-02,4,11,32,8,36,2
28-02-02,3,34,14,20,41,16
07-03-02,40,24,12,38,27,20
14-03-02,20,14,15,34,40,13
21-03-02,29,32,22,33,42,19
28-03-02,41,26,17,24,6,20
04-04-02,40,12,26,28,11,11
11-04-02,22,28,1,10,17,9
18-04-02,6,3,7,4,18,15
25-04-02,40,16,36,22,44,10
02-05-02,36,37,32,25,24,18
09-05-02,9,4,42,22,44,11
16-05-02,23,10,12,36,25,11
23-05-02,4,32,33,13,23,3
30-05-02,40,8,25,10,18,5
06-06-02,29,18,31,43,36,12
13-06-02,4,44,35,18,24,7
20-06-02,23,5,19,34,36,12
27-06-02,8,35,16,21,18,14
04-07-02,7,25,19,42,4,5
11-07-02,36,10,20,30,24,5
18-07-02,9,31,34,33,26,17
25-07-02,36,22,37,17,39,11
01-08-02,39,32,3,18,23,8
08-08-02,44,4,24,8,37,1
15-08-02,37,31,26,42,27,18
22-08-02,30,21,26,42,40,20
29-08-02,10,15,42,41,24,10
05-09-02,19,29,7,9,20,9
12-09-02,10,44,37,19,22,17
19-09-02,45,29,28,38,22,6
26-09-02,8,13,7,42,45,2
03-10-02,35,41,43,7,28,6
10-10-02,45,24,37,5,34,18
17-10-02,37,14,6,26,22,8
24-10-02,34,17,12,33,25,11
31-10-02,27,37,14,45,23,8
07-11-02,17,42,33,18,39,13
14-11-02,16,29,26,31,30,8
21-11-02,30,44,8,26,24,15
28-11-02,27,30,21,3,19,2
05-12-02,32,37,16,9,18,19
12-12-02,29,25,17,9,43,15
19-12-02,29,1,23,2,19,4
27-12-02,34,11,10,25,26,13
09-01-03,28,10,31,22,38,16
16-01-03,37,32,43,38,40,3
23-01-03,20,8,2,36,33,4
30-01-03,16,21,42,7,4,15
06-02-03,13,37,14,26,43,18
13-02-03,42,36,15,12,38,14
20-02-03,30,10,32,42,25,2
27-02-03,43,28,15,2,41,11
06-03-03,16,4,17,42,9,17
13-03-03,20,30,33,24,43,1
20-03-03,37,18,6,31,34,10
27-03-03,45,2,23,39,14,10
03-04-03,8,37,7,40,20,4
10-04-03,34,20,11,3,45,14
17-04-03,13,27,7,17,33,18
24-04-03,2,4,10,29,15,6
01-05-03,18,22,37,2,35,19
08-05-03,13,7,23,9,37,17
15-05-03,19,25,26,43,6,16
22-05-03,45,41,8,10,9,16
29-05-03,43,26,22,42,6,3
05-06-03,21,11,8,41,7,10
12-06-03,17,29,2,37,3,2
19-06-03,16,27,42,19,6,5
26-06-03,40,27,41,18,2,14
03-07-03,24,14,20,10,16,15
10-07-03,6,11,1,35,2,6
17-07-03,33,15,13,24,19,9
24-07-03,32,40,24,23,29,20
31-07-03,33,9,40,14,37,6
07-08-03,11,29,40,37,27,18
14-08-03,13,19,44,30,43,10
21-08-03,23,21,34,2,13,6
28-08-03,37,3,6,43,4,2
04-09-03,44,41,33,30,3,17
11-09-03,9,45,41,2,7,20
18-09-03,11,1,39,35,34,7
25-09-03,45,9,24,38,15,18
02-10-03,25,43,30,20,33,19
09-10-03,35,26,28,27,5,18
16-10-03,32,41,20,13,18,13
23-10-03,21,43,8,45,32,9
30-10-03,5,45,26,19,24,2
06-11-03,23,27,21,18,14,16
13-11-03,15,34,17,23,16,9
20-11-03,17,32,31,16,44,16
27-11-03,14,19,34,33,18,16
04-12-03,43,32,8,1,40,20
11-12-03,9,16,21,20,37,15
18-12-03,4,1,16,8,3,20
24-12-03,1,19,42,18,38,18
08-01-04,15,29,31,30,18,3
15-01-04,6,23,27,16,8,18
22-01-04,16,39,17,10,41,8
29-01-04,42,31,18,28,14,14
05-02-04,1,32,37,6,41,13
12-02-04,1,18,26,24,15,3
19-02-04,44,24,39,8,35,18
26-02-04,4,28,10,22,31,12
04-03-04,9,32,4,44,21,11
11-03-04,27,4,9,22,3,17
18-03-04,8,21,23,36,40,13
25-03-04,16,29,37,26,43,16
01-04-04,44,36,20,11,22,19
08-04-04,34,3,12,21,7,16
15-04-04,9,15,30,24,3,4
22-04-04,8,40,32,24,44,20
29-04-04,26,20,9,31,11,20
06-05-04,42,43,25,20,24,15
13-05-04,11,17,16,36,29,20
20-05-04,26,28,20,37,1,5
27-05-04,42,24,23,28,37,7
03-06-04,38,11,15,20,16,9
10-06-04,38,15,1,4,32,7
17-06-04,31,20,23,2,45,12
24-06-04,16,36,25,30,42,16
01-07-04,27,18,26,29,36,6
08-07-04,30,29,31,5,3,3
15-07-04,12,5,25,13,40,16
22-07-04,33,44,12,1,17,16
29-07-04,11,42,25,31,41,9
05-08-04,30,26,41,21,34,3
12-08-04,16,19,15,24,2,1
19-08-04,7,17,36,35,42,7
26-08-04,37,40,41,25,34,14
02-09-04,6,2,21,11,44,6
09-09-04,34,20,38,13,26,8
16-09-04,17,34,35,19,41,4
23-09-04,21,5,14,30,29,17
30-09-04,42,18,16,6,24,1
07-10-04,35,43,37,28,10,7
14-10-04,9,28,10,18,8,2
21-10-04,45,41,43,32,20,6
28-10-04,10,35,43,45,5,14
04-11-04,18,9,31,27,5,3
11-11-04,14,5,18,10,43,8
18-11-04,9,5,25,19,11,13
25-11-04,40,28,45,2,9,18
02-12-04,23,11,33,44,27,11
09-12-04,16,26,5,4,39,15
16-12-04,41,1,33,8,9,18
23-12-04,4,18,24,1,30,6
06-01-05,41,22,12,9,21,5
13-01-05,15,13,34,11,44,7
20-01-05,5,7,32,10,25,12
27-01-05,43,8,23,26,30,15
03-02-05,20,8,45,14,7,6
10-02-05,32,13,33,28,2,16
17-02-05,42,18,4,43,32,19
24-02-05,3,36,35,16,27,9
03-03-05,4,30,13,39,36,8
10-03-05,32,22,43,5,20,6
17-03-05,7,25,2,22,42,2
24-03-05,36,21,5,20,13,18
31-03-05,12,2,13,29,19,3
07-04-05,32,35,2,19,33,2
14-04-05,19,14,36,13,9,8
21-04-05,35,19,28,24,26,11
28-04-05,26,6,32,41,45,7
05-05-05,44,19,5,8,6,19
12-05-05,40,38,43,32,36,7
19-05-05,23,10,29,22,17,19
26-05-05,40,45,31,43,27,17
02-06-05,12,2,40,18,27,18
09-06-05,16,19,37,36,10,4
16-06-05,1,37,4,36,18,9
23-06-05,9,41,8,37,21,3
30-06-05,13,24,10,37,42,15
07-07-05,29,14,21,36,16,14
14-07-05,12,3,27,9,14,3
21-07-05,45,1,2,32,12,2
28-07-05,38,20,22,12,37,1
04-08-05,18,10,44,15,14,1
11-08-05,3,19,15,24,45,7
18-08-05,32,13,28,6,27,17
25-08-05,12,43,27,1,31,2
01-09-05,18,44,42,4,26,10
08-09-05,19,35,34,11,17,5
15-09-05,15,32,30,2,33,16
22-09-05,1,27,30,9,26,5
29-09-05,12,20,29,17,43,11
06-10-05,23,25,20,24,32,2
13-10-05,20,14,31,37,45,8
20-10-05,27,36,30,26,39,17
27-10-05,30,16,45,43,32,3
03-11-05,18,24,5,4,31,6
10-11-05,43,33,28,10,35,7
17-11-05,8,11,22,1,44,11
24-11-05,44,39,34,40,37,12
01-12-05,36,4,3,26,1,18
08-12-05,41,44,22,6,31,13
15-12-05,23,14,38,17,15,12
22-12-05,37,39,3,30,38,9
29-12-05,33,41,35,22,19,13
05-01-06,3,19,5,41,32,3
12-01-06,40,39,18,29,14,19
19-01-06,45,30,26,41,11,6
26-01-06,36,40,3,27,15,20
02-02-06,27,26,8,43,37,4
09-02-06,17,43,32,10,31,16
16-02-06,13,23,44,21,14,2
23-02-06,2,44,5,27,29,20
02-03-06,19,37,9,29,13,1
09-03-06,26,35,21,10,3,17
16-03-06,17,30,33,25,9,1
23-03-06,44,31,32,13,19,6
30-03-06,33,41,4,1,15,10
06-04-06,21,19,22,32,3,1
13-04-06,6,9,25,37,22,2
20-04-06,37,31,28,3,15,3
27-04-06,34,30,1,19,35,2
04-05-06,9,38,23,1,2,2
11-05-06,2,9,7,30,15,10
18-05-06,21,29,39,45,7,20
25-05-06,28,41,15,27,44,8
01-06-06,28,35,23,37,27,3
08-06-06,12,20,13,33,38,11
15-06-06,24,29,38,12,3,9
22-06-06,2,27,5,1,19,11
29-06-06,42,6,28,3,45,9
06-07-06,13,27,14,31,35,12
13-07-06,23,11,37,17,2,12
20-07-06,37,40,26,44,13,11
27-07-06,19,34,29,32,30,12
03-08-06,23,30,40,16,5,13
10-08-06,32,27,4,5,39,10
17-08-06,14,35,10,22,17,6
24-08-06,40,7,36,2,27,3
31-08-06,41,31,18,19,8,16
07-09-06,9,44,26,2,12,10
14-09-06,40,27,7,2,6,8
21-09-06,44,41,25,13,35,1
28-09-06,29,34,22,28,41,9
05-10-06,41,7,8,3,43,20
12-10-06,43,16,7,39,4,5
19-10-06,19,17,33,15,16,5
26-10-06,35,18,12,10,21,1
02-11-06,10,1,29,27,45,3
09-11-06,33,30,7,31,28,10
16-11-06,8,1,31,17,27,16
23-11-06,39,36,37,8,42,20
30-11-06,42,39,25,10,28,10
07-12-06,23,34,20,21,29,10
14-12-06,2,3,38,29,44,18
21-12-06,8,11,37,40,42,13
28-12-06,40,36,16,5,29,19
04-01-07,3,43,41,2,39,13
11-01-07,45,31,19,4,25,7
18-01-07,31,42,7,39,23,4
25-01-07,18,21,36,44,40,1
01-02-07,13,11,36,31,6,9
08-02-07,37,33,42,21,31,14
15-02-07,3,32,19,12,24,19
22-02-07,40,6,41,43,2,19
01-03-07,28,16,7,33,2,20
08-03-07,29,8,18,44,11,8
15-03-07,24,9,12,22,34,6
22-03-07,31,10,4,41,34,17
29-03-07,31,4,28,14,34,20
05-04-07,7,5,20,6,24,7
12-04-07,37,13,31,38,32,9
19-04-07,24,45,22,8,41,6
26-04-07,4,14,35,17,12,11
03-05-07,27,19,7,17,22,15
10-05-07,8,44,18,10,22,1
17-05-07,41,9,20,29,5,14
24-05-07,35,11,27,40,45,18
31-05-07,24,2,43,10,19,14
07-06-07,18,42,2,5,10,17
14-06-07,25,7,28,41,19,14
21-06-07,29,2,19,6,42,8
28-06-07,21,40,18,12,5,8
05-07-07,10,17,14,20,28,18
12-07-07,35,13,5,39,36,10
19-07-07,8,23,42,22,37,3
26-07-07,17,5,25,1,22,17
02-08-07,36,12,3,28,5,8
09-08-07,35,1,32,19,23,12
16-08-07,44,31,34,45,37,7
23-08-07,20,42,41,44,3,10
30-08-07,13,44,34,22,20,20
06-09-07,29,33,6,38,43,15
13-09-07,29,25,40,5,26,3
20-09-07,11,45,31,3,32,3
27-09-07,3,20,19,13,39,17
04-10-07,1,12,2,45,11,17
11-10-07,17,11,44,25,13,3
18-10-07,18,41,8,29,6,7
25-10-07,23,12,40,35,38,11
01-11-07,1,19,41,20,17,10
08-11-07,30,41,6,10,8,12
15-11-07,34,40,5,39,33,3
22-11-07,25,26,40,21,11,14
